,target_id,latitude,longitude,time,magnitude,geometry,mc_current,mc_current_above_ref,mu,P_triggered,P_background,zeta_plus_1,depth,dmass,cp
10,12,35.2267,31.9435,2022-01-11 01:07:48.064,6.6000000000000005,POINT (35.2267 31.9435),5.4,0.0,6.907372514309816e-11,0.8825987213268626,0.1174012786731374,1.0,21.0,-2.2233384958655025,0.9183455511417536
22,24,-65.3437,-71.5089,2022-01-05 23:24:39.238,5.7,POINT (-65.3437 -71.5089),5.4,0.0,6.907372514309816e-11,0.1909566996516812,0.8090433003483186,1.0,10.0,4.958630818446542,1.0637306960958595
53,55,38.9211,92.619,2021-12-18 23:54:27.150,5.4,POINT (38.9211 92.619),5.4,0.0,6.907372514309816e-11,0.8964863580151302,0.1035136419848699,1.0,10.0,6.793961883176484,1.4614625139528334
91,93,31.723,87.9296,2021-11-30 13:53:41.109,5.5,POINT (31.723 87.92959999999999),5.4,0.0,6.907372514309816e-11,0.8663930145044183,0.1336069854955817,1.0,6.77,7.550109053771179,1.4614625139528334
107,109,82.1308,-17.6567,2021-11-23 12:04:19.226,5.4,POINT (82.13079999999999 -17.6567),5.4,0.0,6.907372514309816e-11,0.5191179482760023,0.4808820517239978,1.0,10.0,3.6251780333983366,0.9693976306520588
123,125,-26.5421,-13.6766,2021-11-12 00:34:16.787,5.800000000000001,POINT (-26.5421 -13.6766),5.4,0.0,6.907372514309816e-11,0.8026210063742715,0.1973789936257285,1.0,10.0,4.760821202216361,1.0637306960958595
149,151,4.4561,147.2747,2021-10-22 07:27:53.884,5.4,POINT (4.4561 147.2747),5.4,0.0,6.907372514309816e-11,0.604425035310553,0.3955749646894468,1.0,10.0,6.1567718127504705,0.5125144481765948
160,162,-50.3221,-72.25,2021-10-13 07:55:29.195,5.4,POINT (-50.3221 -72.25),5.4,0.0,6.907372514309816e-11,0.2501720505654866,0.7498279494345134,1.0,10.0,11.095147714953317,1.8212751591040581
189,191,38.8893,135.4527,2021-09-29 08:37:05.619,6.1000000000000005,POINT (38.8893 135.4527),5.4,0.0,6.907372514309816e-11,0.8805546310644004,0.1194453689355997,1.0,364.0,-12.225786974842901,1.936979654780165
200,202,-37.492,146.3534,2021-09-21 23:15:53.602,5.9,POINT (-37.492 146.3534),5.4,0.0,6.907372514309816e-11,0.0559653513788163,0.9440346486211836,1.0,12.0,15.4419300700577,1.1889893345222762
209,211,29.1944,105.365,2021-09-15 20:33:31.851,5.4,POINT (29.1944 105.365),5.4,0.0,6.907372514309816e-11,0.8908138736184178,0.1091861263815821,1.0,7.12,24.034845793439793,3.2852612770542877
312,314,-59.7858,159.5461,2021-08-08 22:19:11.094,5.5,POINT (-59.7858 159.5461),5.4,0.0,6.907372514309816e-11,0.8810574359253684,0.1189425640746316,1.0,10.0,3.90782256498463,0.9693976306520588
388,390,-43.4115,92.1043,2021-07-03 11:58:07.060,5.800000000000001,POINT (-43.4115 92.10429999999999),5.4,0.0,6.907372514309816e-11,0.8551036547405954,0.1448963452594048,1.0,10.0,4.2779862926509375,1.0637306960958595
408,410,38.2061,93.7234,2021-06-16 08:48:58.863,5.5,POINT (38.2061 93.7234),5.4,0.0,6.907372514309816e-11,0.8110699577352177,0.1889300422647822,1.0,10.0,4.189271675979602,1.0637306960958595
411,413,12.8213,48.6009,2021-06-14 02:44:59.141,5.5,POINT (12.8213 48.6009),5.4,0.0,6.907372514309816e-11,0.7666996381413957,0.2333003618586042,1.0,10.0,-1.5691622939102352,0.9183455511417536
434,436,34.5983,98.2513,2021-05-21 18:04:13.565,7.300000000000001,POINT (34.5983 98.2513),5.4,0.0,6.907372514309816e-11,0.8895535254133624,0.1104464745866374,1.0,10.0,7.542608374559078,1.4614625139528334
436,438,25.7274,100.0082,2021-05-21 13:48:37.193,6.1000000000000005,POINT (25.7274 100.0082),5.4,0.0,6.907372514309816e-11,0.7972144691262741,0.2027855308737259,1.0,9.0,-14.530686441487129,1.1049544771948736
464,466,14.0833,-48.3997,2021-05-07 11:45:25.275,5.5,POINT (14.0833 -48.3997),5.4,0.0,6.907372514309816e-11,0.8612780259094334,0.1387219740905666,1.0,10.0,10.135026621794465,1.1463924383676978
500,502,1.8614,-100.9602,2021-04-14 04:33:29.094,5.7,POINT (1.8614 -100.9602),5.4,0.0,6.907372514309816e-11,0.4000495800785749,0.5999504199214251,1.0,10.0,1.5703922029859703,0.7798390770590734
515,517,-19.8215,14.6631,2021-04-04 01:41:02.137,5.4,POINT (-19.8215 14.6631),5.4,0.0,6.907372514309816e-11,0.0060385246414944,0.9939614753585057,1.0,6.0,4.8206162595274185,1.0637306960958595
527,529,42.4479,16.0496,2021-03-27 13:47:55.267,5.5,POINT (42.4479 16.0496),5.4,0.0,6.907372514309816e-11,0.8963146575041249,0.1036853424958751,1.0,7.0,0.4311651456160469,0.7367354223971875
544,546,36.9206,5.2014,2021-03-18 00:04:06.698,6.0,POINT (36.9206 5.2014),5.4,0.0,6.907372514309816e-11,0.7656472728267733,0.2343527271732267,1.0,8.0,0.4300286155465394,0.7367354223971875
705,707,2.6675,-59.5879,2021-01-31 19:05:14.367,5.5,POINT (2.6675 -59.5879),5.4,0.0,6.907372514309816e-11,0.0936448901262093,0.9063551098737906,1.0,5.21,1.3228943560814208,0.7367354223971875
706,708,-13.9672,121.8641,2021-01-29 19:47:55.783,5.7,POINT (-13.9672 121.8641),5.4,0.0,6.907372514309816e-11,0.6695248867760579,0.3304751132239421,1.0,10.0,4.179644917107048,1.0637306960958595
710,712,18.2516,-64.0708,2021-01-24 23:21:41.140,5.4,POINT (18.2516 -64.07080000000001),5.4,0.0,6.907372514309816e-11,0.8477392080261333,0.1522607919738667,1.0,94.0,6.68532039965071,1.4614625139528334
736,738,51.2811,100.4383,2021-01-11 21:32:59.015,6.7,POINT (51.2811 100.4383),5.4,0.0,6.907372514309816e-11,0.7496422280840261,0.2503577719159738,1.0,10.0,-2.3983873476904574,1.4602217786217284
738,740,38.8824,-29.3694,2021-01-11 12:47:01.240,5.4,POINT (38.8824 -29.3694),5.4,0.0,6.907372514309816e-11,0.8174748031729869,0.1825251968270132,1.0,10.0,3.5858870256882236,0.9693976306520588
752,754,45.4244,16.2573,2020-12-29 11:19:54.762,6.4,POINT (45.4244 16.2573),5.4,0.0,6.907372514309816e-11,0.5302155345598055,0.4697844654401945,1.0,10.0,-9.37781994712552,1.1793789454018453
763,765,6.2544,133.6362,2020-12-23 18:11:47.762,6.1000000000000005,POINT (6.2544 133.6362),5.4,0.0,6.907372514309816e-11,0.7255714399994866,0.2744285600005133,1.0,11.0,3.1096655182241806,0.9693976306520588
778,780,52.4198,106.7208,2020-12-09 21:44:33.981,5.4,POINT (52.4198 106.7208),5.4,0.0,6.907372514309816e-11,0.7267808343569351,0.273219165643065,1.0,17.0,-1.652291990230031,0.9183455511417536
792,794,48.2521,140.7971,2020-11-30 22:54:34.601,6.4,POINT (48.2521 140.7971),5.4,0.0,6.907372514309816e-11,0.802584499891297,0.1974155001087029,1.0,589.0,10.105639842334377,1.1463924383676978
834,836,-63.5536,-156.5067,2020-10-28 12:25:21.128,5.4,POINT (-63.5536 -156.5067),5.4,0.0,6.907372514309816e-11,0.7641628125317996,0.2358371874682003,1.0,10.0,6.144449547524216,0.5125144481765948
887,889,51.8569,103.4802,2020-09-21 18:04:57.669,5.5,POINT (51.8569 103.4802),5.4,0.0,6.907372514309816e-11,0.8901301566275402,0.1098698433724594,1.0,10.0,-1.9079955949812581,0.9183455511417536
