0,target_id,latitude,longitude,time,magnitude,geometry,mc_current,mc_current_above_ref,mu,P_triggered,P_background,zeta_plus_1,depth,dmass,cp,us_Mww_np1_rake,us_Mww_np2_rake,us_Mww_np1_dip,us_Mww_np2_dip,us_Mww_np1_strike1,us_Mww_np2_strike2
0,11862,11864,22.854,92.306,2003-07-26 23:18:17.960,5.7,POINT (22.854 92.306),5.4,0.0,6.907372514309816e-11,0.891394122202045,0.108605877797955,1.0,10.0,31.68322316970908,11.91421435314636,,,,,,
1,11826,11828,29.573,95.605,2003-08-18 09:03:03.520,5.5,POINT (29.573 95.605),5.4,0.0,6.907372514309816e-11,0.5854761807946889,0.414523819205311,1.0,33.0,31.84687742437117,11.91421435314636,,,,,,
2,10466,10468,28.881,94.626,2005-06-01 20:06:41.450,5.800000000000001,POINT (28.881 94.626),5.4,0.0,6.907372514309816e-11,0.7967099853762348,0.2032900146237652,1.0,25.8,31.35207431117368,11.91421435314636,,,,,,
3,3125,3127,-1.0355,31.6181,2016-09-10 12:27:33.410,5.9,POINT (-1.0355 31.6181),5.4,0.0,6.907372514309816e-11,0.4700862093550951,0.5299137906449047,1.0,40.0,45.98749350911166,9.359505056108476,-143.0,-27.0,67.0,57.0,57.0,57.0
4,4410,4412,40.3731,51.5739,2014-06-07 06:05:29.910,5.5,POINT (40.3731 51.5739),5.4,0.0,6.907372514309816e-11,0.7920727713324276,0.2079272286675724,1.0,30.51,-43.05570164414012,7.904443180605332,,,,,,
5,2487,2489,29.8333,94.9838,2017-11-17 22:34:19.450,6.4,POINT (29.8333 94.9838),5.4,0.0,6.907372514309816e-11,0.7849644321132917,0.2150355678867083,1.0,8.0,-34.5241635156512,3.926560918606947,82.63,95.29,35.8,54.54,54.54,54.54
6,1412,1414,41.3375,19.5303,2019-09-21 14:04:25.803,5.6000000000000005,POINT (41.3375 19.5303),5.4,0.0,6.907372514309816e-11,0.8541877528219145,0.1458122471780855,1.0,20.0,-31.47946384880278,3.372832586209521,92.7,88.34,31.59,58.45,58.45,58.45
7,209,211,29.1944,105.365,2021-09-15 20:33:31.851,5.4,POINT (29.1944 105.365),5.4,0.0,6.907372514309816e-11,0.8908138736184178,0.1091861263815821,1.0,7.12,24.034845793439796,3.285261277054288,66.95,103.52,31.56,61.2,61.2,61.2
8,5133,5135,60.233,163.4,2013-03-13 03:12:52.180,5.800000000000001,POINT (60.233 163.4),5.4,0.0,6.907372514309816e-11,0.8909492440609877,0.1090507559390121,1.0,5.0,24.37659419529761,3.285261277054288,43.0,115.0,33.0,68.0,68.0,68.0
9,10066,10068,26.912,91.705,2006-02-23 20:04:53.550,5.800000000000001,POINT (26.912 91.705),5.4,0.0,6.907372514309816e-11,0.6638571079103162,0.3361428920896839,1.0,10.0,-15.574905337691687,2.832101196160428,,,,,,
10,1408,1410,33.0779,73.7936,2019-09-24 11:01:54.990,5.4,POINT (33.0779 73.7936),5.4,0.0,6.907372514309816e-11,0.8698847419269917,0.1301152580730083,1.0,10.0,-16.050166577340917,2.832101196160428,163.92,78.16,12.31,86.61,86.61,86.61
11,7697,7699,41.483,20.388,2009-09-06 21:49:42.170,5.5,POINT (41.483 20.388),5.4,0.0,6.907372514309816e-11,0.8826971139789689,0.1173028860210309,1.0,3.0,-16.324714766633,2.832101196160428,,,,,,
12,4916,4918,30.0464,97.9565,2013-08-11 21:23:41.310,5.7,POINT (30.0464 97.95650000000001),5.4,0.0,6.907372514309816e-11,0.8327762263156282,0.1672237736843718,1.0,6.0,-15.33848662049261,2.832101196160428,-107.0,-78.0,35.0,57.0,57.0,57.0
13,3818,3820,37.4593,78.1542,2015-07-03 01:07:47.290,6.4,POINT (37.4593 78.1542),5.4,0.0,6.907372514309816e-11,0.8906410819003072,0.1093589180996928,1.0,20.0,20.60842781649242,2.6959500248836106,102.0,60.0,69.0,24.0,24.0,24.0
14,10009,10011,33.5,48.78,2006-03-31 01:17:00.960,6.1000000000000005,POINT (33.5 48.78),5.4,0.0,6.907372514309816e-11,0.7513220905551707,0.2486779094448293,1.0,7.0,21.190141660103773,2.6959500248836106,,,,,,
15,8332,8334,25.039,97.697,2008-08-21 12:24:30.930,6.0,POINT (25.039 97.697),5.4,0.0,6.907372514309816e-11,0.8534462940366444,0.1465537059633555,1.0,10.0,27.66188154172257,2.4065580241404003,,,,,,
16,2683,2685,46.8811,-112.5753,2017-07-06 06:30:17.000,5.800000000000001,POINT (46.8811 -112.5753),5.4,0.0,6.907372514309816e-11,0.1794176409707698,0.8205823590292302,1.0,12.18,-10.376435638728331,2.354139878292583,-172.43,-10.63,79.46,82.56,82.56,82.56
17,2613,2615,41.3324,129.0297,2017-09-03 03:30:01.760,6.300000000000001,POINT (41.3324 129.0297),5.4,0.0,6.907372514309816e-11,0.8896445270559138,0.1103554729440861,1.0,0.0,-10.447099824679343,2.354139878292583,,,,,,
18,12343,12345,31.995,49.329,2002-09-25 22:28:11.920,5.6000000000000005,POINT (31.995 49.329),5.4,0.0,6.907372514309816e-11,0.6962351317917946,0.3037648682082053,1.0,10.0,-10.524287613926324,2.354139878292583,,,,,,
